,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,"RT @PKassahunTV: AHEAD TONIGHT ON @KRBCnews:
• <U+0001F912> The CDC warning that a late flu outbreak is about to hit hard!
• <U+2B50><U+FE0F> The #LoneStarState tur…",FALSE,0,NA,3/3/2019 3:56,FALSE,NA,1.10E+18,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",KRBCnews,1,TRUE,FALSE,NA,NA
2,The worst part about dying from the flu is not being able to kiss my lady love <U+0001F62B> this is the worst. I’d rather a scooter to both ankles.,FALSE,0,NA,3/3/2019 3:56,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SexyWhiteJesus1,0,FALSE,FALSE,NA,NA
3,finally feel better after 3 days of suffering from flu but then my period decided it's the best time for a visit.  dammit i just can't win,FALSE,0,NA,3/3/2019 3:56,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",GriftingNinja,0,FALSE,FALSE,NA,NA
4,My dad caught the flu also. 24 hours in emergency and then we will see if he can fight it off. Please vaccinate you… https://t.co/3T3VgK8Syp,FALSE,0,NA,3/3/2019 3:56,TRUE,NA,1.10E+18,NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",AngelaKorras,0,FALSE,FALSE,NA,NA
5,"AHEAD TONIGHT ON @KRBCnews:
• <U+0001F912> The CDC warning that a late flu outbreak is about to hit hard!
• <U+2B50><U+FE0F> The… https://t.co/w2nBJYGRGf",FALSE,0,NA,3/3/2019 3:55,TRUE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PKassahunTV,1,FALSE,FALSE,NA,NA
6,RT @moreth_2108: dia primeiro de março fez um ano q o Flu fez com q eu conhecesse uma das pessoas mais incríveis do mundo,FALSE,0,NA,3/3/2019 3:55,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",claraaffc,1,TRUE,FALSE,NA,NA
7,RT @alfredoo666: Dios creando el virus <U+0001F9A0> de la influenza H1N1 https://t.co/V25egd4aKC,FALSE,0,NA,3/3/2019 3:55,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Sritacapullo,60,TRUE,FALSE,NA,NA
8,'Dear Mom' #vaccines video (5min) via @delbigtree #PublicHealth #flu #hpv @somedocs #education #edu #edchat NO… https://t.co/wMbAppIRj1,FALSE,1,NA,3/3/2019 3:55,TRUE,NA,1.10E+18,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",CollChris,0,FALSE,FALSE,NA,NA
9,RT @drgarynull: Elderberries are more effective than vaccines at protecting you against colds and flu https://t.co/hVF6azlZyq,FALSE,0,NA,3/3/2019 3:55,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Desilu0622,5,TRUE,FALSE,NA,NA
10,Breaking News! New Cold And Flu Cure! - https://t.co/KJl3iIDd9b https://t.co/Siafx0HbHh,FALSE,0,NA,3/3/2019 3:55,FALSE,NA,1.10E+18,NA,"<a href=""http://stillnessproject.com/"" rel=""nofollow"">The Stillness Project</a>",the_stillness,0,FALSE,FALSE,NA,NA
11,Got the flu? Stay home! Get better. It’s costing us billions https://t.co/BLY2ejwiRQ,FALSE,0,NA,3/3/2019 3:55,FALSE,NA,1.10E+18,NA,"<a href=""http://www.example.com"" rel=""nofollow"">Tviterion</a>",michellebullet1,0,FALSE,FALSE,NA,NA
12,RT @dekdarion: Been battling the flu.  <U+0001F612> New Q from today. https://t.co/H5KMEGUxRq,FALSE,0,NA,3/3/2019 3:55,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",bonitalinda529,6,TRUE,FALSE,NA,NA
13,My husband and I got off to a rocky start with dating. I tried to kiss him at the end of our 1st date and he turned… https://t.co/o4CEHMB9GS,FALSE,0,NA,3/3/2019 3:54,TRUE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Gay_and_Mormon,0,FALSE,FALSE,NA,NA
14,"@ufc @TeciaTorres @RockyPMMA Im looking at Tecia's face on the stool, &amp; she looks like some1 suffering from a stoma… https://t.co/pnPdgszff0",FALSE,0,ufc,3/3/2019 3:54,TRUE,1.10E+18,1.10E+18,6446742,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",CBTLTweet,0,FALSE,FALSE,NA,NA
15,Untung minggu ini flu beratnya coba kalo minggu lalu bisa gak fokus nonton oppa <U+0001F602>,FALSE,0,NA,3/3/2019 3:54,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",luvkanggun,0,FALSE,FALSE,-90.0489801,35.1495343
16,@cjabbe14 You got the flu girl.,FALSE,0,cjabbe14,3/3/2019 3:54,FALSE,1.10E+18,1.10E+18,1343309408,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RuizDannyy,0,FALSE,FALSE,NA,NA
17,"Had this entire week off and it was intended to be a game-cation to make a dent in my backlog. On Tuesday, I got si… https://t.co/TuAQNwxMRv",FALSE,0,NA,3/3/2019 3:54,TRUE,NA,1.10E+18,NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>",BrianQuittmeyer,0,FALSE,FALSE,NA,NA
18,Why the fuck do so many people have the flu on my team at work. I’m gonna call off just so I don’t get sick.,FALSE,0,NA,3/3/2019 3:54,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",intheNIQoftime,0,FALSE,FALSE,NA,NA
19,"RT @SD_Bryce: Happy Birthday @blookybeat_

(Sorry it looks kinda sloppy, the flu's gotten the better of me today) https://t.co/6ZbWJD1wVU",FALSE,0,NA,3/3/2019 3:53,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",blookybeat_,1,TRUE,FALSE,NA,NA
20,"My nieces first homecoming was tonight and as sad as I was to miss that, to top it off her momma had the flu.. I sh… https://t.co/ZUTCDCISLS",FALSE,0,NA,3/3/2019 3:53,TRUE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_brookie26,0,FALSE,FALSE,NA,NA
21,"RT @RealGDT: People asking what did I watch during my flu days-  I have KINGDOM on my watchlist, rewatched some really old Curb Your Enthus…",FALSE,0,NA,3/3/2019 3:53,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_xavierg_,921,TRUE,FALSE,NA,NA
22,"RT @kayyythemodel: The Flu, The Pregnant, The Stupid. Keep that shit  away from me",FALSE,0,NA,3/3/2019 3:52,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",vaderltr,9543,TRUE,FALSE,NA,NA
23,"RT @kayyythemodel: The Flu, The Pregnant, The Stupid. Keep that shit  away from me",FALSE,0,NA,3/3/2019 3:52,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",nixed____,9543,TRUE,FALSE,NA,NA
24,"RT @kayyythemodel: The Flu, The Pregnant, The Stupid. Keep that shit  away from me",FALSE,0,NA,3/3/2019 3:52,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Aint_You_Jamie,9543,TRUE,FALSE,NA,NA
25,"RT @FiersaBesari: “Berboncengan denganmu, mengelilingi kota, menikmati surya perlahan menghilang. Hingga, kejamnya waktu menarik paksa aku…",FALSE,0,NA,3/3/2019 3:52,FALSE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",anggrahenirenyw,2630,TRUE,FALSE,NA,NA
26,"Tiap br awal masuk kerja tempat baru, suka drop euy kondisi badan <U+0001F912> dulu gitu juga flu radang bisulan smpe kesusuba… https://t.co/ZPYNVAFdxK",FALSE,0,NA,3/3/2019 3:52,TRUE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_SLZAHRA,0,FALSE,FALSE,NA,NA
27,"{Which phrase I shall use to describe my condition right now.. I’ve got fever, flu, endless nausea and sorethroat a… https://t.co/1hMjTThgbA",FALSE,0,NA,3/3/2019 3:52,TRUE,NA,1.10E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",janewonyoung,0,FALSE,FALSE,NA,NA
