"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @FLHealthDuval: It is not too late to get a flu vaccine. CDC recommends #flu vaccination as long as influenza viruses are circulating. h…",FALSE,0,NA,2019-03-05 17:19:40,FALSE,NA,"1102982021490663431",NA,"<a href=""https://ctrlq.org"" rel=""nofollow"">Capitalurl Tweet Finder</a>","routelet",2,TRUE,FALSE,NA,NA
"2","RT @FLHealthDuval: It is not too late to get a flu vaccine. CDC recommends #flu vaccination as long as influenza viruses are circulating. h…",FALSE,0,NA,2019-03-05 17:17:00,FALSE,NA,"1102981346773872646",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FLBlue",2,TRUE,FALSE,NA,NA
"3","It is not too late to get a flu vaccine. CDC recommends #flu vaccination as long as influenza viruses are circulati… https://t.co/RZRl0AGiWL",FALSE,1,NA,2019-03-05 17:15:00,TRUE,NA,"1102980844400996352",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","FLHealthDuval",2,FALSE,FALSE,NA,NA
"4","RT @USNatArchives: Watch now as Dr. Jeremy Brown of @NIH discusses the history of the #flu virus, the Great Flu of 1918, and our preparedne…",FALSE,0,NA,2019-03-05 17:12:39,FALSE,NA,"1102980252156997633",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ArchivesNYC",2,TRUE,FALSE,NA,NA
"5","RT @JerseySaraKC: I'm 99% certain I have the flu. I'm also 99% certain that if I hadn't been vaccinated I'd be dying. Friends don't let fri…",FALSE,0,NA,2019-03-05 17:12:30,FALSE,NA,"1102980216899682311",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KristinMoras",1,TRUE,FALSE,NA,NA
"6","RT @CDCgov: If you get sick with #flu, make sure to take steps for a quick, healthy recovery. 

Stay home and rest, and avoid close contact…",FALSE,0,NA,2019-03-05 17:07:29,FALSE,NA,"1102978953424166919",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SwitchingTmprly",24,TRUE,FALSE,NA,NA
"7","#EcuadorEsCarnaval | La #Influenza se contagia por tocar superficies contaminadas con este virus, por ejemplo: mani… https://t.co/fEGkXnViXf",FALSE,0,NA,2019-03-05 17:06:10,TRUE,NA,"1102978620870545419",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","INSPI_ECUADOR",0,FALSE,FALSE,NA,NA
"8","RT @CDCgov: If you get sick with #flu, make sure to take steps for a quick, healthy recovery. 

Stay home and rest, and avoid close contact…",FALSE,0,NA,2019-03-05 17:05:14,FALSE,NA,"1102978385679171584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FDADeviceInfo",24,TRUE,FALSE,NA,NA
"9","RT QualityInsights: Don’t let the #flu keep you from celebrating Mardi Gras – there’s still time to get your flu sh… https://t.co/IvXPV0brKR",FALSE,0,NA,2019-03-05 17:05:09,TRUE,NA,"1102978365580029958",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","Qual_Insights",0,FALSE,FALSE,NA,NA
"10","RT @CDCgov: If you get sick with #flu, make sure to take steps for a quick, healthy recovery. 

Stay home and rest, and avoid close contact…",FALSE,0,NA,2019-03-05 17:05:00,FALSE,NA,"1102978327080513536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ktea11",24,TRUE,FALSE,NA,NA
"11","RT @CDCFlu: #HCPs: Help your patients manage #flu illness. When appropriate, make sure to prescribe antivirals early. 

Find resources to a…",FALSE,0,NA,2019-03-05 17:04:52,FALSE,NA,"1102978295979749376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dhafer_FR",4,TRUE,FALSE,NA,NA
"12","RT @MontefioreNYC: The #flu season isn’t over yet. There is still time to get the #flushot. Our Nereyda Franco shares more via @BronxnetTV…",FALSE,0,NA,2019-03-05 17:04:10,FALSE,NA,"1102978117533093888",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","BronxnetTV",1,TRUE,FALSE,NA,NA
"13","RT @CDCgov: If you get sick with #flu, make sure to take steps for a quick, healthy recovery. 

Stay home and rest, and avoid close contact…",FALSE,0,NA,2019-03-05 17:03:55,FALSE,NA,"1102978057462312962",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abekay2",24,TRUE,FALSE,NA,NA
"14","RT @CDCgov: If you get sick with #flu, make sure to take steps for a quick, healthy recovery. 

Stay home and rest, and avoid close contact…",FALSE,0,NA,2019-03-05 17:02:19,FALSE,NA,"1102977653202665478",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JROBFoods",24,TRUE,FALSE,NA,NA
"15","If You're looking for ways to prevent winter #colds and the #flu, Your first step should be a visit to Your local g… https://t.co/OzNPMYLzKB",FALSE,0,NA,2019-03-05 17:01:45,TRUE,NA,"1102977510764146693",NA,"<a href=""http://app.sendblur.com"" rel=""nofollow"">Social Media Publisher App </a>","USHEALTH_Group",0,FALSE,FALSE,NA,NA
"16","RT @USNatArchives: Watch now as Dr. Jeremy Brown of @NIH discusses the history of the #flu virus, the Great Flu of 1918, and our preparedne…",FALSE,0,NA,2019-03-05 17:01:15,FALSE,NA,"1102977383022309376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NickOtaWang",2,TRUE,FALSE,NA,NA
"17","Don’t let the #flu keep you from celebrating Mardi Gras – there’s still time to get your flu shot! #flushot… https://t.co/9fm7FMUq9O",FALSE,0,NA,2019-03-05 17:00:39,TRUE,NA,"1102977232774025217",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","QualityInsights",0,FALSE,FALSE,NA,NA
"18","Watch now as Dr. Jeremy Brown of @NIH discusses the history of the #flu virus, the Great Flu of 1918, and our prepa… https://t.co/f5zbiCzqsF",FALSE,3,NA,2019-03-05 17:00:37,TRUE,NA,"1102977224691666945",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","USNatArchives",2,FALSE,FALSE,NA,NA
"19",".@SenGaryPeters #Vaccination does not guarantee immunity. Many do not respond to their vaccines and immunity wanes… https://t.co/bGtTLJu6pG",FALSE,0,NA,2019-03-05 17:00:05,TRUE,NA,"1102977091681898497",NA,"<a href=""https://www.votervoice.net"" rel=""nofollow"">VoterVoice Tweet</a>","vaccine_choice",0,FALSE,FALSE,NA,NA
"20",".@SenStabenow #Vaccination does not guarantee immunity. Many do not respond to their vaccines and immunity wanes wi… https://t.co/FIjFKTCxe4",FALSE,0,NA,2019-03-05 17:00:05,TRUE,NA,"1102977090973024257",NA,"<a href=""https://www.votervoice.net"" rel=""nofollow"">VoterVoice Tweet</a>","vaccine_choice",0,FALSE,FALSE,NA,NA
"21",".@realDonaldTrump #Vaccination does not guarantee immunity. Many do not respond to their vaccines and immunity wane… https://t.co/e6dMGF4689",FALSE,0,NA,2019-03-05 17:00:05,TRUE,NA,"1102977089563750401",NA,"<a href=""https://www.votervoice.net"" rel=""nofollow"">VoterVoice Tweet</a>","vaccine_choice",0,FALSE,FALSE,NA,NA
"22","Attend the #FDA's 2018-2019 #Flu #vaccine selection #WEBEX Wednesday at
https://t.co/Y0IMLMLypl

If you want to und… https://t.co/olU0PtwNYl",FALSE,0,"Potrblog",2019-03-05 16:55:28,TRUE,"1102768767908630528","1102975927829651459","292493063","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Potrblog",0,FALSE,FALSE,NA,NA
"23","That's that for @GOPHELP #vaccines hearing for today. 
Most interesting was @BillCassidy's push-back against… https://t.co/35NX3vq10C",FALSE,0,"DonnaYoungDC",2019-03-05 16:54:41,TRUE,"1102975141020135424","1102975733507477505","593813785","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DonnaYoungDC",0,FALSE,FALSE,NA,NA
"24","RT @CDCgov: If you get sick with #flu, make sure to take steps for a quick, healthy recovery. 

Stay home and rest, and avoid close contact…",FALSE,0,NA,2019-03-05 16:52:16,FALSE,NA,"1102975123013939200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MaDoloresTamez",24,TRUE,FALSE,NA,NA
"25","RT @Salud_Ec: #EcuadorEsCarnaval | La #Influenza se contagia por tocar superficies contaminadas con este virus, por ejemplo: manijas de las…",FALSE,0,NA,2019-03-05 16:50:24,FALSE,NA,"1102974654568976385",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AdolfoA78686593",9,TRUE,FALSE,NA,NA
"26","#Flu #FluSeason https://t.co/rz7hPb6T25",FALSE,0,NA,2019-03-05 16:49:20,FALSE,NA,"1102974387869777920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kimcormack",0,FALSE,FALSE,NA,NA
"27","RT @TNDeptofHealth: #Flu is still circulating in Tennessee. Can you recognize the symptoms? It's not too late to get a flu shot, and our co…",FALSE,0,NA,2019-03-05 16:49:20,FALSE,NA,"1102974384489328641",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RNApeant",2,TRUE,FALSE,NA,NA
"28","RT @KnowYourDose: To avoid accidentally overdosing on #acetaminophen, @SimplyTasheena sets alarms on her phone in between each dose. Click…",FALSE,0,NA,2019-03-05 16:49:08,FALSE,NA,"1102974334782636032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","grbusinaro",2,TRUE,FALSE,NA,NA
"29","Avoiding this season’s #flu or #cold might be hard, but here are ways to treat your symptoms on a budget. #netDE https://t.co/snD5Fq6szu",FALSE,1,NA,2019-03-05 16:46:40,FALSE,NA,"1102973712796667907",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HealthFirstDE",0,FALSE,FALSE,NA,NA
"30","Top 10 threats to global health in 2019 https://t.co/CEgkRL5r4D via @bsindia from @WHO #pandemic #influenza… https://t.co/qZSnzRiYOZ",FALSE,0,NA,2019-03-05 16:45:17,TRUE,NA,"1102973367483801606",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","JMitchell52",0,FALSE,FALSE,NA,NA
"31","Being sick SUCKS!!!!!  This #coldweather made me sick and STOLE MY VOICE.  I'm whispering, to speak now. If I could… https://t.co/UtDTfsXcy2",FALSE,0,NA,2019-03-05 16:45:00,TRUE,NA,"1102973293928345600",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","majawash",0,FALSE,FALSE,NA,NA
"32","Norwalk, Ohio High School Student Ethan Lindenberger urges more education/outreach about #vaccines to young people… https://t.co/Mv6va2I4Mu",FALSE,0,"DonnaYoungDC",2019-03-05 16:44:54,TRUE,"1102972971143053312","1102973271090348035","593813785","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DonnaYoungDC",0,FALSE,FALSE,NA,NA
